ts_code,buy_net,sell_net,final_mv,ending_shares,pnl,turnover_buy,trades,buys,sells,strategy,is_dynamic_only
159887.SZ,23189818.13622,23028251.32842,0.0,0,-161566.8078000024,23189818.13622,75,41,34,FINAL13_F2v3_ORIG38,False
562500.SH,18395218.308,18240962.977620002,0.0,0,-154255.33037999645,18395218.308,75,42,33,FINAL13_F2v3_ORIG38,False
512070.SH,26201922.136559997,26119272.400539998,0.0,0,-82649.73601999879,26201922.136559997,200,109,91,FINAL13_F2v3_ORIG38,False
563300.SH,7616238.443099999,7544555.2871,0.0,0,-71683.15599999856,7616238.443099999,25,14,11,FINAL13_F2v3_ORIG38,False
516310.SH,23834650.77696,23769396.56972,0.0,0,-65254.20724000037,23834650.77696,77,43,34,FINAL13_F2v3_ORIG38,False
159981.SZ,25004886.07722,24954286.844260003,0.0,0,-50599.23295999691,25004886.07722,110,65,45,FINAL13_F2v3_ORIG38,False
512880.SH,14177796.39228,14127992.93618,0.0,0,-49803.45610000007,14177796.39228,110,63,47,FINAL13_F2v3_ORIG38,False
159326.SZ,16475609.262959998,16440392.763700001,0.0,0,-35216.49925999716,16475609.262959998,39,25,14,FINAL13_F2v3_ORIG38,False
512890.SH,20281482.4854,20250760.93762,0.0,0,-30721.547779999673,20281482.4854,95,52,43,FINAL13_F2v3_ORIG38,False
511880.SH,50175772.54788,50145442.50528,0.0,0,-30330.042599998415,50175772.54788,316,194,122,FINAL13_F2v3_ORIG38,False
511380.SH,9446984.71914,9432118.49894,0.0,0,-14866.22020000033,9446984.71914,42,24,18,FINAL13_F2v3_ORIG38,False
515180.SH,14754019.81392,14739405.329240002,0.0,0,-14614.48467999883,14754019.81392,64,36,28,FINAL13_F2v3_ORIG38,False
512100.SH,16705155.46302,16695978.6363,0.0,0,-9176.826720001176,16705155.46302,102,53,49,FINAL13_F2v3_ORIG38,False
511360.SH,33083377.652459998,33075684.039899997,0.0,0,-7693.612560000271,33083377.652459998,129,73,56,FINAL13_F2v3_ORIG38,False
511990.SH,9602499.01578,9598065.702860003,0.0,0,-4433.312919996679,9602499.01578,100,53,47,FINAL13_F2v3_ORIG38,False
159611.SZ,15605260.62804,15602012.67326,0.0,0,-3247.9547800011933,15605260.62804,58,35,23,FINAL13_F2v3_ORIG38,False
159201.SZ,5483824.645620001,5480630.55462,0.0,0,-3194.091000000946,5483824.645620001,8,4,4,FINAL13_F2v3_ORIG38,False
159399.SZ,1014387.837,1011336.99214,0.0,0,-3050.84486000007,1014387.837,2,1,1,FINAL13_F2v3_ORIG38,False
511220.SH,32986582.797360003,32984087.762820005,0.0,0,-2495.0345399975777,32986582.797360003,160,95,65,FINAL13_F2v3_ORIG38,False
159919.SZ,15556774.7328,15556327.01222,0.0,0,-447.7205799985677,15556774.7328,167,87,80,FINAL13_F2v3_ORIG38,False
159870.SZ,11492470.334460001,11493715.19712,0.0,0,1244.862659998238,11492470.334460001,42,24,18,FINAL13_F2v3_ORIG38,False
518880.SH,35760132.69642,35766371.394779995,0.0,0,6238.69835999608,35760132.69642,248,142,106,FINAL13_F2v3_ORIG38,False
510500.SH,16633118.4585,16641588.016600002,0.0,0,8469.558100001886,16633118.4585,173,94,79,FINAL13_F2v3_ORIG38,False
511010.SH,30588452.767259996,30599976.480460003,0.0,0,11523.713200006634,30588452.767259996,217,124,93,FINAL13_F2v3_ORIG38,False
159570.SZ,15922167.496739998,15934892.384,0.0,0,12724.887260001153,15922167.496739998,50,30,20,FINAL13_F2v3_ORIG38,False
513120.SH,16915323.18816,16929655.99148,0.0,0,14332.80332000181,16915323.18816,66,39,27,FINAL13_F2v3_ORIG38,False
510880.SH,29489650.950839996,29504040.711459998,0.0,0,14389.760620001704,29489650.950839996,185,101,84,FINAL13_F2v3_ORIG38,False
