ts_code,pnl_static,buy_net_static,trades_static,pnl_fused,buy_net_fused,trades_fused,is_dynamic_only,pnl_delta_fused_minus_static,buy_delta_fused_minus_static
161226.SZ,1914190.1891200058,29589239.464559995,186.0,1543782.09358,23923969.63716,168,False,-370408.0955400057,-5665269.827399995
159516.SZ,347250.3443600014,23282962.361339998,51.0,127746.0926399976,17668276.64874,46,False,-219504.25172000378,-5614685.7125999965
513310.SH,741288.3327399977,32818698.52722,74.0,535890.5697400011,27194325.67758,73,False,-205397.76299999654,-5624372.849640001
160723.SZ,956119.9807800129,36045140.98667999,197.0,759755.0903999992,30235319.25468,190,False,-196364.89038001373,-5809821.731999993
501018.SH,889472.331659995,39029594.157960005,216.0,719352.6370599978,32461907.783340003,208,False,-170119.69459999725,-6567686.374620002
588000.SH,224448.8933399953,14580269.17074,54.0,82079.20008000173,13390951.454759998,50,False,-142369.69325999357,-1189317.7159800027
513100.SH,387997.12820000947,40465140.50982,313.0,248855.9418400079,35358691.12415999,295,False,-139141.18636000156,-5106449.385660008
159583.SZ,894334.9605999999,19215512.53404,41.0,760202.8441000003,14933623.827539999,37,False,-134132.11649999954,-4281888.706500001
518850.SH,234200.47738000005,22791431.97492,92.0,106167.45434000343,18434519.066579998,82,False,-128033.02303999662,-4356912.908340003
159949.SZ,348441.9231599979,22463935.3887,126.0,224841.57989999652,19982356.1721,117,False,-123600.34326000139,-2481579.216600001
159605.SZ,0.0,0.0,0.0,-114584.00090000127,4358555.536800001,22,True,-114584.00090000127,4358555.536800001
159915.SZ,398024.2390600033,28223099.29116,200.0,285602.9776399955,24352724.87106,191,False,-112421.2614200078,-3870374.4200999998
588080.SH,118142.83294000477,15369583.802099997,47.0,19892.582340000197,10154345.463,46,False,-98250.25060000457,-5215238.339099998
512480.SH,390236.1429400034,28061234.424659997,118.0,299848.12934000045,21514471.733939998,101,False,-90388.01360000297,-6546762.690719999
513500.SH,182457.9927000031,36506519.54394,307.0,95341.42621999234,35626002.775800005,303,False,-87116.56648001075,-880516.7681399956
513520.SH,275736.8153799996,33501295.11924,122.0,193971.81719999388,26495052.650940005,114,False,-81764.9981800057,-7006242.468299996
515880.SH,948572.8280799985,29827164.13998,98.0,867834.7952199988,23193724.01724,94,False,-80738.03285999969,-6633440.1227400005
512660.SH,0.0,0.0,0.0,-79804.34310000017,7075517.62056,56,True,-79804.34310000017,7075517.62056
159966.SZ,0.0,0.0,0.0,-76154.79738000082,3646828.319820001,29,True,-76154.79738000082,3646828.319820001
513050.SH,65892.1802399978,17532596.01804,141.0,291.1864799987525,16644887.51184,146,False,-65600.99375999905,-887708.5062000006
150201.SZ,0.0,0.0,0.0,-62469.26145999972,3181144.40166,33,True,-62469.26145999972,3181144.40166
518880.SH,6238.69835999608,35760132.69642,248.0,-46549.60228000581,29515783.976400003,224,False,-52788.30064000189,-6244348.720019996
512880.SH,-49803.45610000007,14177796.39228,110.0,-98097.8796000015,11620257.286740001,104,False,-48294.42350000143,-2557539.105539998
513180.SH,177328.3216000013,8931013.745579999,38.0,136808.03728000075,4662988.9113,24,False,-40520.28432000056,-4268024.834279999
159985.SZ,145905.15453999862,30162895.27278,140.0,106150.52493999898,23658350.824020002,128,False,-39754.62959999964,-6504544.448759999
162411.SZ,0.0,0.0,0.0,-39366.36332000233,9340095.045480002,80,True,-39366.36332000233,9340095.045480002
159939.SZ,0.0,0.0,0.0,-39212.74739999976,2136478.7103,18,True,-39212.74739999976,2136478.7103
159326.SZ,-35216.49925999716,16475609.262959998,39.0,-72335.6093800012,11022448.0488,33,False,-37119.11012000404,-5453161.214159997
512100.SH,-9176.826720001176,16705155.46302,102.0,-42945.50259999931,11652733.080599999,81,False,-33768.67587999813,-5052422.382420002
159682.SZ,146333.87036000192,14907641.9322,30.0,113401.8051000014,13574524.46202,32,False,-32932.06526000053,-1333117.4701799992
512700.SH,0.0,0.0,0.0,-28828.60793999955,10536686.61594,55,True,-28828.60793999955,10536686.61594
159206.SZ,213931.63995999843,10786912.451100001,24.0,186916.86136000045,8103869.149739999,21,False,-27014.778599997982,-2683043.301360002
512760.SH,0.0,0.0,0.0,-25587.491339999717,2239774.5653399997,18,True,-25587.491339999717,2239774.5653399997
150019.SZ,0.0,0.0,0.0,-23488.994300000137,979482.55734,9,True,-23488.994300000137,979482.55734
513400.SH,36217.85293999687,13843833.713100001,32.0,13314.37668000348,10276549.398899999,27,False,-22903.47625999339,-3567284.3142000027
513730.SH,70124.75404000096,8089545.185520001,37.0,48615.43683999963,5811095.08662,27,False,-21509.31720000133,-2278450.0989000006
513090.SH,274325.9116600007,13406279.919839999,64.0,253489.00076000206,10216727.836979998,57,False,-20836.91089999862,-3189552.0828600004
512820.SH,0.0,0.0,0.0,-20635.743420000188,2369928.3909,6,True,-20635.743420000188,2369928.3909
513690.SH,62152.671719999984,15063737.54508,64.0,43619.3938800022,12744700.73046,68,False,-18533.277839997783,-2319036.8146200012
512170.SH,0.0,0.0,0.0,-17615.247239999997,417427.4688,3,True,-17615.247239999997,417427.4688
159995.SZ,145062.57117999718,21481275.396,84.0,128438.64847999625,16565645.966700003,80,False,-16623.922700000927,-4915629.429299999
512040.SH,125243.08376000077,15943655.893559998,75.0,108774.6184400022,11747555.241239998,64,False,-16468.465319998562,-4196100.652319999
161116.SZ,0.0,0.0,0.0,-15792.781399999745,3327851.33718,11,True,-15792.781399999745,3327851.33718
513880.SH,0.0,0.0,0.0,-13843.903759999957,443682.71880000003,4,True,-13843.903759999957,443682.71880000003
159980.SZ,34682.35257999599,24385522.929360002,134.0,21328.57853999734,17293636.5357,110,False,-13353.77403999865,-7091886.393660001
159901.SZ,0.0,0.0,0.0,-13052.50024000043,3264278.0250600004,27,True,-13052.50024000043,3264278.0250600004
510500.SH,8469.558100001886,16633118.4585,173.0,-4359.644979998469,13416042.1719,156,False,-12829.203080000356,-3217076.2865999993
511090.SH,0.0,0.0,0.0,-12827.881719999947,542619.5022,3,True,-12827.881719999947,542619.5022
512690.SH,0.0,0.0,0.0,-11031.442000000738,7546621.522500001,41,True,-11031.442000000738,7546621.522500001
159570.SZ,12724.887260001153,15922167.496739998,50.0,2146.3809200003743,12086473.811399998,44,False,-10578.506340000778,-3835693.6853400003
510300.SH,85661.94796000049,12750790.04808,146.0,75705.28633999825,9643173.549060002,125,False,-9956.66162000224,-3107616.499019997
150152.SZ,0.0,0.0,0.0,-9154.033939999994,581412.7593,8,True,-9154.033939999994,581412.7593
512400.SH,44891.43705999479,20210206.33302,114.0,36238.58915999904,17698403.4729,115,False,-8652.847899995744,-2511802.860120002
159920.SZ,52109.352019999176,18249809.332020003,173.0,44000.377700001,16162300.51374,164,False,-8108.974319998175,-2087508.818280004
